,Unnamed: 0,Name,Station,FirstCategory,SecondCategory,TotalRating,ReviewNum,Lat,Long,Category,DinnerPriceLow,DinnerPriceHigh,LunchPriceLow,LunchPriceHigh
55,56,Gochiya  ,Kyoto,Izakaya (Tavern),Creative cuisine,3.18,33,34.9884404609588,135.761279108682,Izakaya (Tavern) Creative cuisine,￥3000,￥3999, ,￥999
56,57,Shusaijoujou  ,Kyoto,Creative cuisine,Izakaya (Tavern),3.03,12,34.9883648466884,135.755297868851,Creative cuisine Izakaya (Tavern),￥5000,￥5999,,
57,58,o-rudeidainingukaza  ,Kyoto,Buffet style,Cafe,3.41,15,34.9861608292917,135.752504109069,Buffet style Cafe,￥4000,￥4999,￥2000,￥2999
58,59,Yakinikudainingukinoe  ,Kyoto Shiyakusho Mae,Yakiniku (BBQ Beef),Korean cuisine,3.58,39,35.0122604635406,135.764163605741,Yakiniku (BBQ Beef) Korean cuisine,￥5000,￥5999,,
59,60,Manjirou  ,Gion Shijo,Kaiseki (Traditional Japanese),Kyoto Cuisine,3.57,57,35.0017457541648,135.780026105812,Kaiseki (Traditional Japanese) Kyoto Cuisine,￥10000,￥14999,￥3000,￥3999
60,61,Sakayaagurema  ,Sanjo,Izakaya (Tavern),Sukiyaki,3.03,9,35.0094078177675,135.770155461682,Izakaya (Tavern) Sukiyaki,￥4000,￥4999,,
61,62,chuugokuryourichimmin  ,Gion Shijo,Chinese,Dim sum,3.5,44,35.0041359664734,135.775011689987,Chinese Dim sum,￥5000,￥5999,￥1000,￥1999
62,63,Hanasaki  ,Karasuma,Kyoto Cuisine,Kaiseki (Traditional Japanese),3.58,30,35.0043996209478,135.763205991643,Kyoto Cuisine Kaiseki (Traditional Japanese),￥10000,￥14999,￥4000,￥4999
63,64,nikushokusakabagaru  ,Gion Shijo,Bar,Sumibiyaki,3.04,11,35.0048216518419,135.77073951322,Bar Sumibiyaki,￥4000,￥4999, ,￥999
64,65,furenchidainingutoppuobukyouto  ,Kyoto,French,Restaurants (other),3.07,33,34.9861624957947,135.752504942257,French Restaurants (other),￥10000,￥14999,￥5000,￥5999
65,66,takaradoukarasuma  ,Shijo,Izakaya (Tavern),Sukiyaki,3.05,4,35.0025347092754,135.756842994842,Izakaya (Tavern) Sukiyaki,￥3000,￥3999,,
66,67,Ikedayahananomai  ,Kyoto Shiyakusho Mae,Izakaya (Tavern),Kyoto Cuisine,3.07,59,35.0088103660205,135.769259452492,Izakaya (Tavern) Kyoto Cuisine,￥3000,￥3999,,
67,68,Kyoutogiontempurayasakaendou  ,Gion Shijo,Tempura,Kaiseki (Traditional Japanese),3.68,252,34.9989145822574,135.77511164431,Tempura Kaiseki (Traditional Japanese),￥10000,￥14999,￥5000,￥5999
68,69,Ryoumashamonoujou  ,Kyoto,Izakaya (Tavern),Yakitori (Grilled chicken),3.0,27,34.9880182697134,135.7604672511,Izakaya (Tavern) Yakitori (Grilled chicken),￥3000,￥3999,,
69,70,Komefuku  ,Karasuma,Tempura,Ten-don (Tempura Bowl),3.55,140,35.0046062331496,135.761353080459,Tempura Ten-don (Tempura Bowl),￥2000,￥2999, ,￥999
70,71,Gionkyouryourihanasaki  ,Gion Shijo,Kyoto Cuisine,Kaiseki (Traditional Japanese),3.5,56,35.001987605201,135.776159471356,Kyoto Cuisine Kaiseki (Traditional Japanese),￥10000,￥14999,￥4000,￥4999
71,72,Izakayashinoomiya  ,Shijo Omiya,Izakaya (Tavern),Kushi-age (Fried Skewer),3.14,30,35.0047962545949,135.747841693829,Izakaya (Tavern) Kushi-age (Fried Skewer),￥2000,￥2999,,
72,73,Ittetsugurache  ,Karasuma,Yakiniku (BBQ Beef),Bar,3.52,33,35.0047036962275,135.762538484634,Yakiniku (BBQ Beef) Bar,￥3000,￥3999, ,￥999
73,74,Ichishun  ,Kyoto,Izakaya (Tavern),Japanese food (other),3.53,72,34.9877799444932,135.7594723447,Izakaya (Tavern) Japanese food (other),￥4000,￥4999, ,￥999
74,75,Nikokubaru  ,Keihan Yamashina,Izakaya (Tavern),Kushi-age (Fried Skewer),3.03,15,34.9906070184028,135.816001130938,Izakaya (Tavern) Kushi-age (Fried Skewer),￥2000,￥2999,,
75,76,Teppansakuwan  ,Saiin,Teppanyaki,Izakaya (Tavern),3.04,1,35.0029211577045,135.730812638868,Teppanyaki Izakaya (Tavern),￥3000,￥3999,,
76,77,RIGOLETTO SMOKE GRILL & BAR  ,Gion Shijo,Italian,Spain,3.52,113,35.0023853402133,135.776146676328,Italian Spain,￥4000,￥4999,￥1000,￥1999
77,78,Kugurinaberoppakuya  ,Karasuma,Izakaya (Tavern),Japanese food (other),3.08,19,35.0043845208436,135.757382587083,Izakaya (Tavern) Japanese food (other),￥4000,￥4999,,
78,79,Kyouryouritategami  ,Marutamachi,Kyoto Cuisine,Kaiseki (Traditional Japanese),3.51,11,35.0176544080438,135.752669034239,Kyoto Cuisine Kaiseki (Traditional Japanese),￥6000,￥7999,￥2000,￥2999
79,80,Pontochourobin  ,Sanjo,Kyoto Cuisine,Kaiseki (Traditional Japanese),3.48,66,35.007637467664,135.771076855559,Kyoto Cuisine Kaiseki (Traditional Japanese),￥6000,￥7999,,
80,81,BELLOTA concha  ,Kawaramachi,Spain,Italian,3.16,23,35.0028287148498,135.764830752759,Spain Italian,￥3000,￥3999,￥1000,￥1999
81,82,Bejitejiya  ,Gion Shijo,Yakiniku (BBQ Beef),Korean cuisine,3.11,46,35.0035395378738,135.77026258034,Yakiniku (BBQ Beef) Korean cuisine,￥3000,￥3999,,
82,83,Matsuzakagyuuwattsuzakicchin  ,Gion Shijo,Steak,Sushi,3.06,4,35.006283478163,135.772928430793,Steak Sushi,￥10000,￥14999,,
83,84,Sushidokoroima  ,Katsura,Sushi,Seafood,3.53,13,34.979850486332,135.710131252004,Sushi Seafood,￥6000,￥7999,,
84,85,Maribuagaru  ,Karasuma,Izakaya (Tavern),Japanese food (other),3.1,24,35.0026827391119,135.761237630186,Izakaya (Tavern) Japanese food (other),￥3000,￥3999,,
85,86,Italian bar Lugol  ,Karasuma Oike,Italian,Pasta,3.03,28,35.0111876696183,135.756670110802,Italian Pasta,￥2000,￥2999, ,￥999
86,87,Takishokudou  ,Shijo,Dining bar,Izakaya (Tavern),3.02,3,35.0026330051004,135.755297563109,Dining bar Izakaya (Tavern),￥3000,￥3999,,
87,88,Bar Pleasure  ,Kawaramachi,Bar,Wine bar,3.0,2,35.0061886218041,135.764668287831,Bar Wine bar,￥2000,￥2999,,
88,89,Sou  ,Shijo,Izakaya (Tavern),Creative cuisine,3.55,44,35.0048177708664,135.755266076244,Izakaya (Tavern) Creative cuisine,￥4000,￥4999,,
89,90,Kaisenizakayamatsurishungyotokyouyasaitoosakenoomise  ,Kawaramachi,Izakaya (Tavern),Seafood,3.03,7,35.0040092787709,135.770300805123,Izakaya (Tavern) Seafood,￥3000,￥3999,,
90,91,Momojirou  ,Fukakusa,Izakaya (Tavern),Chanko Nabe (Sumo Wrestlers Hot Pot),3.04,8,34.9628166529074,135.768027505772,Izakaya (Tavern) Chanko Nabe (Sumo Wrestlers Hot Pot),￥3000,￥3999,,
91,92,Yakinikusakayaisshin  ,Rokujizo,Yakiniku (BBQ Beef),Izakaya (Tavern),3.1,8,34.9322720261464,135.793188766907,Yakiniku (BBQ Beef) Izakaya (Tavern),￥6000,￥7999,,
92,93,Kyouhonoka  ,Sanjo,Izakaya (Tavern),Creative cuisine,3.01,12,35.0090850753986,135.770206305652,Izakaya (Tavern) Creative cuisine,￥3000,￥3999,,
93,94,Ampan  ,Karasuma Oike,Korean cuisine,Yakiniku (BBQ Beef),3.08,20,35.0085107284906,135.756370536711,Korean cuisine Yakiniku (BBQ Beef),￥3000,￥3999,￥1000,￥1999
94,95,rino  ,Karasuma Oike,Italian,Pasta,3.2,10,35.0131424729159,135.757379128582,Italian Pasta,￥6000,￥7999,￥1000,￥1999
95,96,REAL NETA DINING ICHIZ  ,Tambaguchi,Italian,Izakaya (Tavern),3.05,14,34.9929450895897,135.735796850912,Italian Izakaya (Tavern),￥4000,￥4999, ,￥999
96,97,nikubaruginjirou  ,Gion Shijo,Bar,Steak,3.06,7,35.0042653266744,135.770980907676,Bar Steak,￥3000,￥3999,,
97,98,Kushikatsutanaka  ,Saiin,Kushi-age (Fried Skewer),Izakaya (Tavern),3.02,3,35.0037849596386,135.73112396213,Kushi-age (Fried Skewer) Izakaya (Tavern),￥2000,￥2999,,
